Attributes,Selector,Nokigiri Method
Dealer,p:contains('Empresa'),content
Grupo,p:contains('Grupo'),content
Make,p.product-name,content
Perceived price,span.celda-importe,content
Price with reimbursment,#totalDesglose,content
fuel policy,p:contains('Politica de combustible'),content
reglas_tarifa,"h3:contains(""Reglas de la tarifa"") + ul",content
reglas_reserva,"h3:contains(""Reglas de la reserva"") + ul",content
cancelaciones_cambios,"h3:contains(""Cancelaciones y cambios"") + ul",content
km_policy,"strong:contains(""Kilómetros / Millas"")",parent_content
impuestos,"strong:contains(""Incluido en el precio"")",parent_content
politica_combustible,"strong:contains(""Políticas de combustible"")",parent_content
pick_up,p:contains('Recogida'),content
return,p:contains('Entrega'),content
condiciones_generales,#condicionesGenerales_coc,content
